attendance_percentage,academic_score,indiscipline_count,online_engagement_score,dropout
78.09,5.83,0.02,26.97,0
59.75,8.57,3.34,58.36,0
88.63,4.19,1.88,80.55,1
33.73,5.87,1.73,74.26,1
61.92,6.55,0.53,20.85,0
34.28,6.59,0.6,42.51,0
83.08,7.93,0.22,86.24,0
81.15,4.85,3.6,100.0,0
64.49,6.56,2.04,66.88,0
53.16,6.77,2.35,57.49,0
27.57,10.0,0.23,92.22,0
61.66,6.9,0.24,59.84,0
77.92,7.67,3.6,54.42,0
91.79,3.78,0.83,78.02,1
90.27,7.52,7.33,82.18,0
82.05,4.76,8.09,66.87,0
96.63,5.59,2.42,53.29,0
90.53,6.39,2.05,76.55,0
73.64,6.96,1.3,100.0,0
55.17,8.34,0.76,78.76,1
39.38,2.04,0.16,94.89,1
98.47,5.95,4.19,77.77,0
86.04,7.86,0.1,64.69,0
57.43,6.7,2.83,38.16,0
97.99,7.09,0.04,72.39,0
51.86,3.83,1.81,88.68,1
91.86,8.83,0.46,48.27,0
92.0,7.34,6.58,41.34,0
81.46,9.07,1.93,87.68,0
65.78,8.01,2.05,74.99,1
85.41,4.86,0.39,69.15,0
65.78,5.75,2.85,92.03,0
50.27,7.85,0.34,91.42,1
64.85,2.78,1.04,46.03,0
81.29,6.13,0.62,87.26,0
74.02,7.48,5.83,40.33,1
63.53,5.95,0.31,65.55,0
52.13,7.58,0.21,57.81,0
100.0,7.33,2.3,35.3,1
78.36,8.39,3.57,97.26,0
89.85,5.22,0.23,73.18,0
54.2,10.0,1.15,96.73,0
82.4,7.67,0.58,66.81,0
100.0,8.18,0.59,100.0,0
64.25,7.81,2.11,100.0,0
90.84,5.36,10.0,52.84,0
100.0,6.53,0.29,57.33,0
91.18,5.33,0.95,63.65,0
51.46,10.0,0.36,61.53,0
79.19,4.53,5.28,100.0,0
95.43,8.34,0.38,100.0,0
85.92,2.16,10.0,100.0,0
83.44,9.12,4.35,100.0,0
53.16,5.99,0.2,51.67,0
76.36,2.46,0.35,63.36,1
76.12,5.88,1.22,64.01,0
65.93,9.95,2.64,86.79,0
61.66,5.03,1.98,62.32,1
82.73,8.18,1.19,33.83,0
34.65,0.84,1.67,100.0,0
47.15,6.43,1.25,77.05,0
75.91,7.75,2.0,43.13,0
79.92,4.9,1.18,52.72,0
89.37,6.18,2.48,83.97,0
88.05,3.24,0.23,38.55,0
88.86,8.71,1.91,40.65,0
100.0,5.1,2.31,53.14,0
46.13,5.53,0.04,38.21,1
69.12,7.04,0.35,82.75,1
55.14,3.61,2.94,60.04,1
100.0,5.53,1.32,82.25,0
83.19,7.21,0.68,73.16,0
89.46,6.72,2.19,19.17,1
79.21,5.52,1.4,67.8,1
54.08,7.45,4.12,42.9,0
59.18,6.57,1.97,89.21,0
75.03,7.33,1.21,56.15,0
57.63,6.7,1.08,84.62,0
64.3,7.09,1.95,99.61,0
49.6,7.84,2.5,76.53,0
51.34,5.99,2.41,59.89,0
87.91,6.54,1.53,96.96,0
53.09,0.15,3.75,61.52,1
100.0,5.89,0.54,68.33,0
69.69,5.7,5.96,47.89,0
84.72,2.6,1.6,51.23,0
47.09,5.08,0.56,100.0,0
100.0,5.66,0.83,35.28,0
81.15,6.0,0.87,46.51,0
71.83,6.13,1.36,87.01,0
93.47,4.4,2.15,60.54,0
86.76,7.74,1.43,49.74,0
100.0,5.19,1.55,65.04,0
98.33,7.56,1.26,49.69,0
63.76,7.46,1.44,100.0,0
98.63,10.0,0.1,53.07,0
65.48,4.85,0.57,35.87,0
78.82,6.43,0.12,56.64,0
100.0,9.22,1.65,58.67,0
48.2,7.36,0.25,84.6,0
94.88,9.25,3.05,74.29,0
87.65,5.55,0.47,75.03,0
79.55,7.77,0.19,44.67,0
53.72,6.48,1.02,100.0,0
67.16,4.46,0.93,79.52,0
65.07,4.19,0.22,47.6,0
64.63,9.15,1.73,72.82,0
96.25,5.75,2.07,92.26,0
100.0,7.11,2.83,41.55,0
66.03,6.98,1.25,57.45,1
100.0,8.29,2.18,58.51,0
71.32,6.88,7.36,70.08,1
69.19,5.31,2.03,84.68,0
100.0,8.9,2.12,51.51,0
84.78,5.59,1.65,89.75,0
96.18,6.9,1.13,68.71,0
85.46,6.24,0.77,53.61,0
95.68,5.12,1.17,100.0,0
33.55,4.6,0.92,100.0,0
100.0,7.08,0.63,77.17,0
100.0,8.44,0.06,74.81,0
61.62,6.05,0.43,67.13,0
81.25,10.0,1.42,90.2,0
71.55,3.78,0.67,88.32,0
68.77,8.96,0.15,100.0,1
76.53,5.48,5.07,71.07,0
78.11,7.3,0.13,30.15,0
100.0,4.03,0.88,70.35,0
50.28,9.01,5.48,75.81,0
100.0,5.13,1.63,48.16,0
71.59,4.87,2.77,69.63,0
97.44,6.13,2.31,64.46,0
50.67,4.26,1.44,93.5,0
68.3,3.82,0.97,73.57,0
74.59,7.08,0.12,59.07,0
87.19,3.39,2.56,100.0,0
55.13,6.77,0.27,26.66,1
76.73,5.65,1.55,69.57,0
99.09,6.87,10.0,24.48,0
84.04,4.08,1.04,67.12,0
81.26,6.76,0.62,50.83,0
89.12,8.88,3.47,76.21,0
75.65,8.11,0.25,43.16,0
100.0,5.83,0.02,69.0,0
50.33,2.7,2.51,30.44,1
68.5,4.63,0.05,87.23,0
73.99,4.84,0.02,73.74,0
68.26,6.78,3.05,79.82,0
86.65,5.6,2.6,52.69,0
66.5,8.62,3.69,92.7,0
90.96,4.15,4.38,100.0,0
74.22,2.99,0.18,73.43,1
36.38,5.15,1.48,67.7,0
57.37,9.31,0.11,50.85,0
52.02,7.01,0.88,83.74,1
100.0,2.51,0.01,75.47,0
59.25,3.71,1.68,60.78,0
58.96,1.59,0.1,83.9,0
57.19,3.46,3.85,48.84,1
80.28,6.19,1.74,100.0,0
77.11,9.28,0.25,72.68,0
90.2,5.71,2.89,77.27,0
75.61,1.84,2.59,64.38,0
100.0,6.84,0.38,85.01,0
60.3,9.83,0.3,77.7,0
88.53,5.96,1.77,67.45,0
74.46,9.41,4.5,55.0,0
81.2,7.82,3.92,45.86,0
44.46,5.49,0.77,59.69,0
35.51,5.0,2.74,76.81,1
61.83,7.42,0.28,97.3,0
82.22,8.44,0.58,100.0,1
85.29,5.75,0.74,33.24,0
88.54,4.34,3.25,100.0,0
97.42,5.45,0.7,100.0,0
67.3,2.76,3.41,71.99,1
90.29,4.54,3.47,63.57,0
44.99,5.81,0.69,63.19,1
69.8,5.19,0.19,32.25,0
55.31,5.6,1.66,97.1,0
42.81,5.11,1.63,56.53,1
80.12,8.89,10.0,44.86,0
64.75,4.9,3.15,80.88,0
53.92,7.36,1.12,94.99,0
69.5,2.1,1.4,98.41,0
78.35,8.82,3.5,49.27,0
38.86,5.95,6.52,54.29,0
71.2,3.51,1.14,86.07,0
50.16,4.25,2.97,67.21,1
83.63,7.98,1.32,81.16,0
87.17,5.39,0.44,86.49,0
91.85,6.55,4.69,60.0,0
48.39,2.14,1.83,97.3,0
79.79,7.97,0.15,71.56,0
51.24,5.71,1.73,70.1,0
44.37,8.8,3.87,36.65,0
59.72,8.25,2.92,54.14,0
63.59,4.14,0.32,0.0,1
71.45,7.81,1.35,33.58,0
77.14,5.81,0.61,80.46,0
81.84,6.38,0.45,52.56,0
90.11,6.06,1.91,87.01,1
100.0,8.78,0.08,100.0,0
46.79,8.67,0.2,44.09,0
35.42,5.96,2.91,20.82,1
82.79,8.15,0.1,100.0,0
83.26,5.91,0.04,65.75,0
87.39,2.24,2.26,72.07,0
85.58,6.27,2.06,52.21,0
100.0,4.08,1.27,80.77,0
99.16,2.01,1.15,87.58,0
89.71,6.62,3.6,57.91,0
50.62,6.29,0.06,64.32,0
100.0,8.22,4.85,99.89,1
85.09,7.75,0.86,85.35,1
61.64,4.94,3.28,48.59,0
67.34,7.58,0.16,100.0,0
84.23,9.1,1.36,43.61,0
87.95,3.24,1.77,100.0,0
100.0,1.87,2.18,57.7,1
100.0,5.02,0.04,68.41,0
90.42,6.6,1.32,43.86,0
82.96,6.0,4.83,70.79,0
66.06,7.17,1.84,69.93,0
65.44,4.25,1.13,53.3,0
80.94,3.95,2.03,100.0,0
67.36,9.51,1.32,99.65,0
79.49,7.5,0.27,98.12,0
46.13,7.87,0.14,64.65,0
71.62,8.04,0.42,92.47,0
78.68,5.67,1.7,95.97,0
59.47,6.43,0.65,79.76,0
100.0,5.59,0.35,100.0,0
100.0,8.72,0.27,51.49,0
94.07,8.15,0.49,100.0,0
68.61,7.59,3.46,0.0,1
100.0,7.63,1.06,100.0,0
41.37,5.91,0.55,95.26,0
67.18,6.98,1.29,70.18,0
100.0,5.61,2.95,26.74,1
98.6,10.0,1.33,37.03,0
53.32,6.75,2.91,46.22,0
63.47,5.02,1.04,100.0,0
64.29,4.99,1.42,78.29,0
80.71,6.78,4.87,60.0,0
71.75,6.45,1.17,71.46,0
100.0,5.4,4.06,50.66,1
38.93,7.03,0.1,91.42,0
82.24,7.14,4.91,81.26,0
62.45,6.65,0.09,59.15,1
86.35,4.43,0.0,58.8,0
47.64,4.29,6.64,66.38,1
67.42,7.93,0.2,84.48,0
50.09,7.55,1.4,25.77,0
84.8,8.01,0.16,69.55,0
29.61,6.08,2.04,65.11,0
94.33,5.15,0.06,70.74,0
63.27,6.13,9.08,72.68,0
43.84,10.0,2.43,87.44,0
46.78,7.23,3.96,70.73,0
91.98,3.95,1.53,66.55,0
100.0,1.72,0.62,29.36,0
71.57,7.39,0.09,100.0,0
82.58,7.89,1.21,99.43,0
72.51,1.82,1.73,97.58,0
56.08,7.02,0.16,9.12,0
72.17,4.81,0.38,70.84,0
62.01,5.94,7.45,55.08,0
39.71,7.08,0.13,42.42,0
88.45,10.0,1.04,39.31,0
45.87,10.0,1.18,88.02,0
37.62,7.33,0.4,76.08,0
56.86,9.64,1.07,14.41,0
96.65,3.98,2.19,61.63,0
71.83,6.94,0.52,53.66,0
47.8,8.96,2.46,29.55,0
76.93,4.47,1.15,86.81,0
47.18,5.54,0.59,13.35,0
47.19,3.61,0.97,81.27,1
95.45,5.43,0.08,70.94,0
100.0,6.43,0.03,66.2,0
71.33,4.3,1.37,100.0,0
77.02,7.44,3.3,64.13,0
96.77,6.92,0.16,86.15,0
78.26,4.37,5.85,26.19,0
80.07,4.71,3.44,45.83,0
71.84,5.43,1.41,100.0,0
100.0,10.0,1.59,36.98,0
69.16,5.69,1.39,82.32,0
53.03,3.07,1.0,73.41,0
89.06,5.44,2.43,66.92,0
100.0,5.31,1.19,70.87,0
87.06,8.09,2.18,78.45,0
72.83,5.74,1.56,81.17,1
100.0,7.75,4.97,95.34,0
100.0,7.29,1.08,74.14,0
83.7,5.71,2.58,93.47,0
92.27,6.84,0.77,44.37,0
52.72,5.24,0.75,34.12,0
97.8,4.83,7.1,97.49,0
84.58,4.78,1.44,89.77,0
79.99,7.3,1.34,29.11,0
68.64,6.73,0.79,56.18,1
60.95,2.69,0.61,82.56,0
62.68,4.45,1.79,90.51,0
69.42,10.0,2.06,72.74,0
30.18,6.51,0.65,100.0,1
98.68,5.12,1.65,71.86,0
100.0,7.46,6.69,71.23,0
56.84,6.42,2.92,49.11,1
68.17,7.57,1.8,74.62,0
53.56,9.1,0.65,36.59,0
100.0,7.14,1.54,37.58,0
80.29,6.42,1.62,79.96,0
71.75,4.76,5.43,100.0,1
79.66,5.06,4.92,85.61,0
52.33,7.2,2.66,61.38,0
85.68,5.05,0.72,46.15,0
70.86,4.44,0.57,48.84,0
72.71,6.8,1.9,64.92,0
98.44,9.5,0.66,49.42,0
100.0,6.57,0.57,40.71,1
75.57,6.54,1.46,57.89,0
32.22,6.21,5.16,71.59,0
67.74,3.63,2.11,50.67,1
89.49,7.4,0.59,32.94,0
77.87,8.24,0.88,37.13,0
97.72,6.19,5.77,87.78,0
67.37,3.86,0.46,100.0,0
94.28,5.89,1.68,51.82,0
83.34,8.83,3.57,44.01,1
94.63,7.84,0.7,2.18,0
64.79,5.75,0.44,56.19,0
76.76,8.45,1.57,40.95,0
100.0,2.78,4.38,58.09,0
53.28,5.88,1.4,63.36,1
84.34,8.08,1.35,83.02,0
60.5,4.75,3.25,77.28,0
95.88,6.46,1.07,54.21,1
59.88,7.22,0.24,100.0,0
62.9,7.5,3.45,82.63,1
63.61,5.78,1.43,24.91,1
100.0,3.81,4.63,60.32,0
100.0,8.05,5.37,73.78,0
76.47,8.44,2.21,63.03,1
59.51,5.73,1.26,59.92,0
73.44,5.59,4.51,39.77,0
91.21,8.3,2.47,55.14,0
68.63,3.59,3.05,63.96,1
84.03,8.48,0.52,46.77,0
57.59,5.14,1.22,93.97,0
77.52,8.06,0.9,49.74,0
100.0,4.93,0.5,97.53,0
58.65,10.0,4.49,100.0,0
46.48,5.55,1.04,57.08,0
64.25,8.75,2.06,58.92,0
69.4,5.52,3.86,73.48,0
66.36,10.0,0.21,66.41,0
94.47,7.75,1.01,40.76,0
100.0,8.14,0.59,18.07,0
40.34,10.0,1.07,92.46,0
87.49,3.65,1.76,63.84,0
67.65,5.58,0.22,97.97,0
100.0,3.73,7.47,92.66,0
69.87,3.83,1.76,57.12,0
49.66,7.38,1.37,91.06,0
55.59,9.96,0.66,47.43,0
38.33,7.02,1.98,78.25,0
89.75,5.09,1.88,67.94,0
71.95,5.22,6.64,24.91,1
94.32,9.21,0.94,82.29,0
79.56,3.2,3.47,56.24,0
46.66,3.16,3.06,54.28,0
65.19,6.2,2.31,36.37,0
73.73,9.33,0.71,35.42,0
66.21,5.31,5.5,13.68,1
42.31,4.42,0.46,32.34,0
87.34,3.14,0.14,60.48,0
100.0,4.24,0.59,48.76,0
33.58,8.49,1.41,24.26,1
87.26,7.27,0.43,87.33,0
79.76,4.51,1.49,64.3,0
57.95,6.88,1.59,93.95,0
84.45,4.94,2.26,68.34,0
52.91,7.82,1.79,96.63,0
75.99,6.92,3.16,39.42,1
54.23,9.08,0.23,73.64,0
76.37,9.9,1.1,61.3,0
92.91,3.02,3.76,61.52,0
85.02,6.52,2.36,84.47,0
70.55,6.64,3.53,52.86,0
64.42,5.52,0.82,77.0,0
43.92,9.63,0.71,79.78,0
52.96,6.47,2.38,62.99,0
72.2,6.74,4.67,67.3,1
99.36,7.46,1.13,65.17,0
15.21,4.32,3.07,75.46,1
85.07,6.43,2.8,100.0,0
47.37,6.94,0.76,76.34,0
82.49,5.68,0.28,63.25,0
68.83,9.59,3.12,48.0,0
34.32,4.02,2.72,23.99,1
83.03,3.6,1.1,37.76,0
66.05,7.8,1.35,49.76,0
93.36,7.87,2.44,39.35,1
74.97,7.7,5.36,97.24,1
76.22,3.26,0.96,79.13,0
53.2,6.22,0.1,79.34,1
79.66,4.23,0.59,60.17,0
69.48,5.82,1.77,60.07,0
43.41,5.32,0.46,45.54,1
87.46,10.0,3.91,76.43,0
81.93,5.13,1.17,38.27,1
79.63,6.33,4.64,90.83,0
66.88,3.32,1.47,52.0,0
77.13,6.31,2.44,76.02,0
77.88,6.33,5.38,93.4,0
43.53,6.66,0.4,62.12,0
49.99,6.92,0.76,26.11,0
90.49,6.86,0.68,83.02,0
52.64,8.83,0.58,99.78,0
51.81,5.99,1.11,59.66,0
88.69,8.64,2.02,100.0,0
58.39,5.7,4.37,96.21,0
95.68,7.68,2.15,78.33,0
47.36,3.38,0.2,43.88,1
65.6,6.89,1.8,85.37,0
80.81,7.98,4.27,100.0,0
72.62,8.34,0.64,30.8,0
88.19,5.65,0.14,46.13,0
73.16,6.15,2.93,63.39,0
96.41,6.33,2.88,100.0,0
74.95,6.48,4.76,77.43,1
80.81,2.19,2.13,100.0,0
71.66,4.12,1.05,42.58,1
70.69,8.49,4.84,100.0,1
88.69,5.66,0.67,97.95,0
73.23,5.59,0.68,83.44,0
100.0,9.64,3.51,28.99,0
27.99,9.85,1.16,76.48,0
67.49,3.89,0.52,24.49,1
46.52,6.86,0.34,65.64,0
74.95,5.41,1.62,100.0,0
89.99,5.31,5.88,69.82,0
71.54,5.63,0.31,77.33,1
82.72,4.15,0.82,26.96,0
62.28,5.37,1.12,38.79,0
100.0,7.37,6.59,50.18,1
52.59,4.99,0.61,100.0,0
78.03,5.91,3.28,94.36,0
100.0,7.01,4.3,20.4,0
64.47,3.86,4.02,53.32,1
48.05,4.7,0.39,48.47,1
78.74,6.41,0.99,100.0,0
62.33,6.31,1.45,40.2,0
50.11,7.4,0.58,59.71,0
74.17,3.55,0.04,76.9,1
83.45,5.57,3.14,63.33,0
57.81,4.72,1.62,84.81,0
61.27,8.83,0.31,59.23,0
53.23,10.0,1.37,59.76,0
83.65,5.07,1.15,44.16,0
73.65,4.35,2.88,66.63,0
92.58,7.46,1.07,63.74,0
66.42,8.43,2.13,86.95,0
38.23,8.3,0.18,95.25,0
45.7,5.16,0.84,100.0,0
100.0,6.69,5.06,72.42,0
84.98,5.82,0.04,75.75,0
63.43,6.35,5.05,58.01,0
53.68,6.4,0.48,72.96,0
100.0,6.55,3.95,52.05,1
48.69,9.12,4.98,79.78,1
52.48,3.53,0.48,34.94,0
94.91,5.34,2.34,93.65,0
69.33,5.5,3.57,69.87,1
90.7,2.94,0.16,65.99,0
89.15,8.05,1.87,100.0,0
80.83,6.56,2.64,80.95,0
74.3,4.79,1.44,64.65,1
63.86,6.57,1.91,61.7,0
51.86,7.15,0.26,68.6,0
85.02,4.54,1.88,52.57,0
43.57,4.64,1.24,95.09,0
90.33,5.67,3.04,29.26,0
75.24,6.31,0.83,97.96,0
96.0,7.15,0.61,0.36,1
94.68,9.96,2.67,52.22,0
43.93,7.83,0.17,100.0,0
92.51,9.18,0.81,88.3,0
69.8,6.56,2.38,83.97,0
44.76,7.57,0.46,62.28,0
49.71,6.61,7.61,71.33,1
100.0,4.54,0.83,86.88,0
41.76,7.74,0.91,64.5,0
49.84,8.26,4.1,21.63,0
96.93,2.47,0.24,100.0,0
71.58,8.99,2.54,48.99,0
69.04,3.2,0.06,100.0,0
100.0,6.64,1.58,68.14,0
60.7,5.11,0.45,56.8,1
41.96,6.02,1.41,77.74,0
29.12,7.11,2.7,87.16,1
62.92,4.3,1.27,99.19,0
69.25,4.44,7.82,83.7,0
74.56,4.94,2.42,97.13,0
98.73,2.72,3.14,99.68,0
59.83,5.61,3.33,88.24,0
100.0,9.98,1.24,62.92,0
100.0,5.65,4.51,81.25,0
100.0,8.02,6.02,90.33,0
92.53,5.03,1.61,38.24,0
47.45,9.9,0.44,70.35,0
39.6,4.33,1.05,97.67,0
52.58,6.48,1.37,68.57,0
100.0,8.66,1.03,76.13,0
83.08,6.27,3.43,63.57,0
55.06,4.63,3.87,48.65,0
80.84,9.26,0.01,22.07,0
98.81,8.57,2.55,87.98,0
100.0,4.08,1.29,100.0,0
91.67,6.84,5.69,66.32,1
92.48,6.66,3.75,91.82,1
93.1,6.05,0.97,65.65,0
73.35,8.04,2.65,67.97,0
100.0,6.42,0.82,97.24,0
92.27,6.47,1.34,35.28,0
77.44,5.66,0.57,95.72,0
61.78,5.47,2.98,66.65,0
95.43,9.37,3.33,68.95,0
65.99,4.99,0.74,100.0,0
56.44,8.99,0.69,59.45,0
87.71,6.26,2.56,87.56,0
47.49,5.55,1.43,100.0,1
79.84,7.1,5.74,63.21,0
75.36,8.92,2.76,59.69,0
65.97,4.46,0.62,100.0,0
56.69,6.75,3.27,100.0,0
81.12,6.04,1.92,38.04,0
59.81,7.83,0.82,84.9,0
100.0,5.56,0.98,84.06,0
67.13,2.68,2.24,100.0,0
86.45,7.29,2.11,91.15,0
68.68,7.13,3.85,75.29,1
48.84,5.81,0.67,100.0,0
82.63,9.23,3.04,90.41,0
67.49,7.9,0.02,86.79,0
96.04,6.69,4.87,63.1,0
90.64,4.68,0.95,47.58,1
85.27,2.97,0.72,61.84,0
46.89,6.82,1.42,81.53,0
73.37,4.52,0.15,32.15,0
91.15,6.57,1.59,25.48,1
60.41,8.38,3.72,100.0,0
86.89,4.66,0.69,43.6,0
58.58,7.58,0.22,54.58,0
55.66,8.86,0.77,100.0,0
81.8,5.91,0.59,93.7,0
100.0,4.28,0.04,67.62,0
75.53,8.29,0.89,100.0,0
67.79,7.75,0.22,61.55,0
75.45,1.94,0.09,43.52,0
66.57,0.07,1.12,100.0,0
71.3,7.8,1.25,75.14,0
78.2,4.06,1.52,75.43,0
72.32,3.77,2.55,10.53,1
87.22,6.81,2.23,68.17,0
71.28,7.68,3.72,32.87,0
50.0,7.24,0.85,59.21,0
74.34,5.47,6.18,89.87,1
100.0,6.59,1.77,78.55,0
98.08,3.45,4.43,100.0,0
72.19,5.45,0.82,94.31,0
60.5,4.71,1.59,61.04,0
76.03,9.44,0.27,54.0,0
74.15,1.78,0.84,55.95,1
98.78,7.83,3.36,33.66,0
54.22,8.14,4.67,80.53,0
58.07,7.72,1.17,65.64,0
43.54,4.39,1.81,42.88,0
81.11,5.04,0.67,68.9,1
34.39,6.52,0.28,100.0,0
100.0,8.17,0.45,49.94,0
77.18,3.42,1.65,97.54,0
57.79,4.72,0.08,96.82,1
94.31,7.91,1.22,48.16,0
100.0,2.84,5.92,70.33,0
66.15,6.52,0.75,75.47,0
55.06,4.38,0.97,18.68,0
100.0,2.23,0.53,75.49,1
61.54,7.83,2.51,55.68,0
74.92,6.42,0.87,36.73,0
58.23,5.02,1.31,32.5,0
85.66,4.89,2.94,100.0,0
65.0,7.59,0.41,64.95,1
87.37,9.41,2.32,41.71,0
61.86,8.49,0.07,65.11,0
100.0,6.4,0.5,47.35,0
81.65,3.83,5.19,84.43,0
60.72,8.86,0.39,100.0,0
78.3,6.53,1.02,31.34,1
82.45,6.83,1.56,64.27,0
66.92,6.5,0.58,61.38,0
100.0,7.54,5.2,43.62,1
62.38,7.7,0.28,86.04,1
89.6,9.28,8.59,44.96,0
91.2,5.05,6.3,89.92,1
46.85,3.9,2.02,90.14,1
100.0,6.44,1.29,100.0,0
92.83,6.09,0.35,90.52,0
95.8,4.46,0.25,97.65,0
77.16,10.0,2.08,96.83,0
77.28,4.91,0.81,74.84,0
48.19,5.86,4.83,56.27,0
58.33,5.14,1.83,100.0,0
100.0,2.65,0.91,88.03,0
63.42,4.71,2.52,94.41,0
94.25,8.83,3.55,44.6,0
71.13,7.99,3.73,45.0,1
69.48,5.78,0.06,27.98,0
100.0,9.43,1.52,67.06,0
61.99,5.85,1.28,89.6,0
54.99,4.79,0.8,72.18,0
100.0,6.8,0.98,52.83,0
92.2,8.12,2.2,81.96,0
100.0,4.7,1.35,100.0,0
63.36,7.3,0.14,67.78,0
100.0,6.39,6.02,34.61,1
86.69,5.96,4.09,22.64,0
36.29,5.4,1.27,65.3,0
48.2,5.53,0.94,45.01,0
97.25,6.36,0.07,100.0,0
81.7,7.63,5.26,71.0,0
67.62,6.02,0.6,52.77,0
81.01,8.04,2.23,38.59,0
85.51,3.01,0.21,77.84,0
48.31,7.69,0.0,65.63,1
88.81,1.51,1.3,100.0,0
52.47,4.79,0.08,33.9,0
100.0,8.73,2.79,94.4,0
85.18,8.81,0.72,63.24,0
76.2,7.15,1.63,68.97,0
100.0,8.06,1.08,50.5,0
66.96,4.37,3.75,59.88,1
56.12,8.11,0.37,72.0,0
100.0,4.48,0.5,72.14,0
64.54,5.03,0.07,68.18,0
59.03,6.94,2.81,78.12,0
74.42,9.16,3.75,100.0,0
87.21,3.86,1.23,78.17,0
65.32,6.61,1.27,65.69,0
88.56,7.84,1.46,62.18,0
58.97,4.61,0.11,60.57,1
81.23,6.08,3.59,100.0,0
90.1,6.11,0.27,24.7,0
100.0,0.87,0.3,29.37,0
100.0,4.29,2.6,61.83,1
100.0,3.87,1.37,64.94,0
69.79,7.24,5.3,93.83,0
77.53,3.34,0.38,42.99,0
87.27,5.25,0.37,71.98,0
59.42,5.81,1.69,72.63,0
83.7,2.66,0.19,99.11,0
100.0,7.3,3.13,54.54,0
92.26,5.69,1.28,78.98,0
94.48,5.52,0.64,33.53,0
52.14,4.72,6.82,81.01,0
88.21,6.21,0.02,71.05,1
79.98,5.36,2.28,80.89,0
74.26,5.33,1.01,57.99,0
82.14,6.4,0.19,69.04,0
66.02,8.63,1.13,26.08,0
71.55,4.63,0.21,44.65,0
71.35,10.0,7.66,61.66,1
92.58,4.61,4.77,76.98,0
80.62,10.0,1.3,88.2,0
42.66,7.19,6.23,57.64,0
96.69,6.45,2.49,49.33,0
84.35,5.41,0.58,24.71,0
78.64,4.43,0.31,83.88,0
90.82,6.46,1.47,100.0,0
59.94,6.27,3.09,49.8,0
65.58,8.74,1.84,29.4,0
10.17,7.09,10.0,36.8,1
86.15,7.76,3.11,44.68,0
73.58,6.68,0.28,100.0,0
100.0,6.66,1.4,37.58,0
67.03,5.61,7.22,58.17,0
53.45,7.19,3.16,52.92,0
64.87,6.98,1.08,36.97,0
41.96,8.43,3.04,58.15,1
66.35,10.0,4.77,35.29,0
34.11,5.34,2.37,84.64,1
93.28,4.53,1.0,63.18,1
71.52,9.18,0.58,66.24,0
100.0,7.85,7.3,42.6,0
77.3,9.35,1.7,78.54,0
64.63,9.94,0.7,69.54,0
91.73,4.36,2.93,74.29,0
64.36,5.72,1.89,72.71,0
57.71,8.77,3.18,31.99,0
54.92,8.39,0.26,22.17,0
73.23,10.0,1.94,100.0,0
100.0,7.25,4.14,21.47,0
60.57,6.78,4.45,73.21,0
62.18,5.97,1.65,45.89,0
92.28,8.04,4.72,83.78,0
58.49,5.51,1.14,100.0,0
76.32,9.83,0.22,59.28,0
71.8,6.01,0.1,89.7,0
78.0,7.92,1.99,58.07,0
77.98,6.16,1.05,69.63,0
35.2,7.16,0.16,71.85,0
86.68,9.07,1.05,85.3,0
100.0,8.41,0.19,35.25,0
88.1,7.01,1.03,84.73,0
86.37,7.27,1.54,55.26,0
79.99,1.62,5.29,58.41,0
91.19,6.96,6.56,94.82,0
77.47,3.58,1.62,49.3,0
82.92,6.27,1.17,90.28,0
93.51,6.84,1.29,81.08,0
79.68,8.83,0.96,67.24,0
100.0,3.09,1.27,100.0,0
63.44,7.09,4.79,54.01,0
80.75,8.39,0.42,64.9,0
91.61,4.69,1.16,59.99,0
62.26,7.98,2.58,75.36,0
74.52,7.52,2.6,41.39,0
78.76,4.8,1.97,100.0,0
39.89,7.41,5.63,89.47,0
95.15,6.55,2.37,29.46,0
84.17,4.29,0.91,80.9,0
50.82,5.37,2.99,31.46,0
84.56,5.35,0.52,4.99,1
68.56,6.44,1.11,98.47,1
83.34,4.53,0.4,50.55,0
72.74,5.39,2.44,87.12,0
39.4,8.63,1.32,52.8,1
47.55,5.89,0.48,89.48,0
75.06,7.67,4.98,95.86,0
56.45,9.08,3.09,95.84,0
65.1,4.47,1.05,100.0,0
95.21,5.61,0.14,63.58,0
84.6,9.27,2.07,58.14,0
87.77,9.9,4.41,46.14,0
61.32,6.48,6.19,79.76,0
76.63,8.86,0.52,62.08,0
85.54,6.52,1.71,77.63,0
73.12,8.83,4.06,52.51,0
93.56,6.92,5.56,70.04,0
99.61,7.55,0.66,100.0,0
83.21,8.93,5.97,51.14,0
29.88,7.36,0.14,100.0,1
69.68,7.61,1.19,46.81,0
61.01,6.08,0.98,78.53,1
73.08,6.1,3.42,100.0,0
67.32,4.98,1.44,100.0,0
46.57,10.0,1.28,98.66,0
79.37,6.17,3.92,100.0,0
88.87,9.67,0.79,83.65,0
95.44,6.92,3.98,39.25,0
48.44,5.92,4.7,71.23,0
52.75,4.16,0.83,59.99,0
85.19,5.27,0.51,62.93,0
97.87,6.87,0.76,25.33,1
79.94,4.25,2.14,58.92,0
90.6,4.15,2.7,87.66,0
100.0,3.7,2.36,94.25,0
55.36,5.13,0.08,98.65,0
73.65,8.89,4.09,85.53,0
83.47,3.29,1.52,76.6,0
92.43,7.15,2.25,74.94,0
85.21,6.9,1.01,71.75,1
16.55,4.21,1.67,67.4,0
